Player,Shot,Type,Stroke,Spin,Speed (MPH),2,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,New Points
Lenn Luemkemann,3,serve_plus_one,Volley,Flat,23.949078,12,0,0,deep,ad,far,1.535259,19.961061,short,ad,near,-3.208984,10.729335,2.503906,cross court,In,false,18:53:32,296.660004,11
Opponent,4,return_plus_one,Backhand,Flat,30.092007,12,0,0,short,ad,far,1.68475,18.219408,deep,ad,far,2.003906,24.146288,1.035156,cross court,Net,false,18:53:34,298.320007,11
Opponent,5,in_play,Volley,Flat,21.650688,12,0,0,deep,ad,far,1.140625,21.34375,deep,ad,far,1.140625,22.552538,0.582031,cross court,Net,false,18:53:36,299.890015,11
Opponent,6,in_play,Backhand,Slice,70.931625,12,0,0,out,ad,far,1.555664,25.525755,deep,ad,far,1.648438,23.943163,1.393555,cross court,Net,false,18:53:36,300.190002,11
Lenn Luemkemann,1,first_serve,Serve,Kick,108.639458,13,0,0,short,center_line,far,0.001262,17.537481,deep,ad,near,-0.955566,0.068503,2.453125,down the T,In,false,18:54:04,327.98999,12
Lenn Luemkemann,1,second_serve,Serve,Kick,65.673477,14,0,0,short,ad,far,2.90292,16.786093,deep,ad,near,-0.85791,0.959128,2.568359,out wide,In,false,18:54:13,336.859985,13
Opponent,2,second_return,Backhand,Flat,54.819698,14,0,0,short,ad,near,-0.805627,5.960988,deep,ad,far,3.683594,23.115038,1.068359,cross court,In,false,18:54:14,337.829987,13
Lenn Luemkemann,3,serve_plus_one,Backhand,Flat,58.075768,14,0,0,short,ad,far,1.420898,17.85811,out,ad,near,-2.355469,-1.103372,0.994629,cross court,In,false,18:54:15,339.059998,13
Opponent,4,return_plus_one,Backhand,Topspin,62.138893,14,0,0,deep,deuce,near,1.915401,4.305888,deep,ad,far,2.234375,24.443163,1.042969,down the line,In,false,18:54:16,340.429993,13
Lenn Luemkemann,5,in_play,Forehand,Topspin,50.451813,14,0,0,deep,ad,far,3.253966,20.210867,out,deuce,near,1.693359,-1.970559,0.867676,down the line,In,false,18:54:17,341.559998,13
Opponent,6,in_play,Backhand,Flat,62.077579,14,0,0,deep,ad,near,-2.906609,3.674364,out,ad,far,2.804688,25.396288,1.056641,cross court,In,false,18:54:19,343,13
Lenn Luemkemann,7,in_play,Backhand,Slice,41.550198,14,0,0,deep,ad,far,1.889017,19.350895,out,ad,near,-3.044922,-0.783059,1.137695,cross court,In,false,18:54:20,344.220001,13
Opponent,8,in_play,Backhand,Topspin,56.502361,14,0,0,deep,ad_alley,near,-4.423022,3.398118,deep,ad,far,2.076172,23.896288,0.874512,down the line,Out,false,18:54:22,345.880005,13
Opponent,1,first_serve,Serve,Slice,90.124847,17,0,0,short,deuce_alley,near,4.949481,7.153807,deep,deuce,far,-0.654297,23.521288,2.25,out wide,Out,false,18:55:14,398.459991,16
Opponent,1,second_serve,Serve,Kick,123.54557,18,0,0,short,deuce,near,2.225459,6.643444,deep,deuce,far,-0.535156,24.693163,2.199219,out wide,In,false,18:55:24,407.98999,17
Lenn Luemkemann,2,second_return,Backhand,Topspin,44.409546,18,0,0,deep,deuce_alley,far,-4.12794,21.203503,deep,deuce,near,2.667969,1.052878,1.344727,inside in,Out,false,18:55:24,408.690002,17
Opponent,3,serve_plus_one,Forehand,Flat,68.272659,18,0,0,deep,deuce,near,2.796778,0.831201,out,deuce,far,-3.958984,26.068163,1.238281,cross court,In,false,18:55:26,410.320007,17
Lenn Luemkemann,4,return_plus_one,Forehand,Topspin,43.708771,18,0,0,deep,ad,far,3.520876,19.49752,out,deuce,near,2.980469,-1.759622,0.763672,down the line,In,false,18:55:27,411.390015,17
Opponent,5,in_play,Backhand,Flat,62.621098,18,0,0,short,ad,near,-3.336764,6.178306,out,ad,far,2.974609,25.771288,1.341797,cross court,In,false,18:55:29,413.309998,17
Lenn Luemkemann,6,in_play,Backhand,Slice,45.582802,18,0,0,deep,ad,far,1.403982,21.062675,out,ad_alley,near,-4.382812,-0.665872,0.924805,down the line,In,false,18:55:30,414.690002,17
Opponent,7,in_play,Forehand,Topspin,57.523846,18,0,0,deep,ad,near,-3.973345,5.485182,deep,ad,far,1.828125,24.927538,1.047852,inside out,In,false,18:55:32,416.290009,17
Lenn Luemkemann,8,in_play,Backhand,Slice,37.384766,18,0,0,short,ad,far,0.863281,16.859375,deep,ad,near,-4.015625,-0.134622,1.234375,cross court,In,false,18:55:33,417.76001,17
Opponent,9,in_play,Volley,Slice,17.320551,18,0,0,short,ad,far,2.121094,12.476562,short,ad,far,0.863281,18.068163,0.980469,cross court,Net,false,18:55:35,418.929993,17
Opponent,1,first_serve,Serve,Slice,93.005768,19,0,0,short,ad,near,-3.545006,7.261213,deep,ad,far,0.074829,23.33823,2.214844,out wide,In,false,18:56:21,464.98999,18
Lenn Luemkemann,2,first_return,Backhand,Topspin,52.806156,19,0,0,deep,ad,far,2.152344,22.671875,deep,ad_alley,near,-4.363281,0.529441,1.25,down the line,In,false,18:56:21,465.730011,18
Opponent,3,serve_plus_one,Backhand,Topspin,59.855587,19,0,0,short,deuce,near,2.57373,6.462415,out,ad,far,2.636719,24.990038,1.15332,down the line,In,false,18:56:23,467.149994,18
Lenn Luemkemann,4,return_plus_one,Forehand,Topspin,63.533428,19,0,0,short,deuce,far,-0.682617,17.015625,out,deuce,near,1.817383,-2.197122,0.803223,cross court,In,false,18:56:24,468.480011,18
Opponent,5,in_play,Forehand,Topspin,53.473755,19,0,0,out,deuce,near,2.160248,-0.360643,deep,deuce,far,-1.533203,24.896288,0.732422,cross court,Out,false,18:56:25,469.75,18
Lenn Luemkemann,6,in_play,Forehand,Topspin,66.68866,19,0,0,deep,deuce,far,-2.264376,19.124943,out,deuce,near,1.294922,-2.829935,0.427979,cross court,In,false,18:56:27,470.880005,18
Opponent,7,in_play,Forehand,Flat,73.466675,19,0,0,deep,ad,near,-3.494452,1.800116,deep,deuce,far,-2.865234,24.583788,0.930664,down the line,In,false,18:56:28,472.149994,18
Opponent,1,first_serve,Serve,Slice,87.037437,21,0,0,deep,deuce,near,1.373913,5.283453,deep,deuce,far,-0.538574,23.206293,2.261719,down the T,Out,false,18:56:54,498.149994,20
Lenn Luemkemann,2,first_return,Backhand,Flat,49.122772,21,0,0,deep,deuce,far,-1.27521,20.728142,out,deuce,near,1.689453,-0.712747,1.022461,inside out,In,false,18:56:55,498.850006,20
Opponent,3,serve_plus_one,Forehand,Flat,61.853699,21,0,0,deep,deuce,near,3.265748,2.070817,deep,deuce,far,-1.456055,22.990038,1.443359,cross court,In,false,18:56:56,500.25,20
Lenn Luemkemann,4,return_plus_one,Forehand,Topspin,52.955791,21,0,0,deep,ad,far,1.291634,19.380905,out,deuce,near,3.617188,-2.478372,0.988281,down the line,In,false,18:56:57,501.339996,20
Opponent,5,in_play,Forehand,Flat,62.63382,21,0,0,deep,ad_alley,near,-4.787832,1.427461,deep,deuce,far,-0.054352,24.615038,1.116211,down the line,Out,false,18:56:59,502.869995,20
Opponent,1,first_serve,Serve,Slice,88.212868,23,0,0,short,ad,near,-1.015683,7.593376,deep,ad,far,0.770996,23.099413,2.308594,down the T,In,false,18:57:31,535.059998,22
Lenn Luemkemann,2,first_return,Forehand,Slice,38.835964,23,0,0,deep,deuce,far,-1.59154,22.269262,deep,ad,near,-1.830078,0.263816,1.511719,inside in,In,false,18:57:31,535.72998,22
Opponent,3,serve_plus_one,Forehand,Topspin,69.259834,23,0,0,deep,ad,near,-3.603019,2.712462,out,deuce,far,-1.833984,25.115038,1.060547,down the line,In,false,18:57:33,537.659973,22
Lenn Luemkemann,4,return_plus_one,Backhand,Topspin,37.099937,23,0,0,short,deuce,far,-0.123047,17.3125,out,ad,near,-3.681641,-2.447122,1.041992,down the line,In,false,18:57:35,538.809998,22
Opponent,5,in_play,Overhead,Flat,112.58358,23,0,0,short,deuce,near,3.855129,7.129977,short,deuce,far,-0.123047,18.521288,2.736328,---,In,false,18:57:36,540.280029,22
Opponent,1,first_serve,Serve,Slice,80.935898,24,0,0,deep,deuce_alley,near,4.164315,2.929573,deep,deuce,far,-0.805176,23.927538,2.376953,out wide,Out,false,18:58:12,576.460022,23
Opponent,1,first_serve,Serve,Slice,66.492615,25,0,0,deep,deuce,near,4.09914,5.484767,deep,deuce,far,-0.678223,22.521288,2.308594,out wide,Out,false,18:58:21,585.48999,24
Lenn Luemkemann,2,first_return,Forehand,Flat,41.759914,25,0,0,short,ad,far,1.760742,16.96875,deep,deuce_alley,near,5.023438,0.295066,0.577148,down the line,In,false,18:58:22,586.429993,24
Opponent,3,serve_plus_one,Forehand,Flat,58.857639,25,0,0,deep,ad,near,-3.590301,0.780031,deep,ad,far,0.367676,23.333788,1.03125,inside out,In,false,18:58:24,588.090027,24
Opponent,1,second_serve,Serve,Slice,83.868355,27,0,0,deep,deuce,near,2.159396,2.982483,deep,deuce,far,-0.662598,23.911913,2.232422,down the T,Out,false,19:00:09,692.929993,26
Lenn Luemkemann,2,second_return,Backhand,Flat,58.867733,27,0,0,out,ad,far,0.861816,23.783424,deep,deuce,near,1.245117,0.037253,1.035156,inside in,Out,false,19:00:09,693.549988,26
Opponent,3,serve_plus_one,Forehand,Flat,38.118309,27,0,0,out,ad,near,-0.139189,-1.743876,deep,ad,far,0.929199,24.958788,0.507812,inside out,Out,false,19:00:10,694.650024,26
Opponent,1,first_serve,Serve,Slice,81.301437,29,0,0,short,ad,near,-1.631513,5.654984,deep,ad,far,0.955078,23.490038,2.384766,down the T,In,false,19:00:27,710.890015,28
Lenn Luemkemann,2,first_return,Forehand,Topspin,42.886719,29,0,0,short,deuce,near,1.770508,8.953125,out,ad,near,-2.298828,-0.540872,1.174805,inside in,Net,false,19:00:27,711.590027,28
Opponent,1,first_serve,Serve,Slice,103.576897,31,0,0,short,deuce_alley,near,4.779104,7.272517,deep,deuce,far,-0.706543,24.349413,2.296875,out wide,Out,false,19:00:48,731.830017,30
Opponent,1,second_serve,Serve,Kick,59.393856,32,0,0,short,deuce,near,1.779258,7.065025,deep,deuce,far,-0.563477,22.677538,2.238281,down the T,In,false,19:00:55,738.830017,31
Lenn Luemkemann,2,second_return,Backhand,Flat,64.262848,32,0,0,deep,deuce,far,-2.785985,18.507557,deep,deuce,near,1.866211,1.318503,1.432617,inside out,In,false,19:00:55,739.75,31
Opponent,3,serve_plus_one,Forehand,Topspin,37.820381,32,0,0,short,ad,near,-2.052734,8.867188,out,deuce_alley,far,-4.597656,27.208788,0.807617,down the line,In,false,19:00:57,741.080017,31
Lenn Luemkemann,4,return_plus_one,Volley,Flat,19.918634,32,0,0,deep,deuce,far,-0.00557,19.868952,short,ad,near,-2.052734,8.341941,0.96875,down the line,In,false,19:00:58,742.179993,31
Opponent,1,first_serve,Serve,Slice,84.427666,33,0,0,short,ad_alley,near,-5.037455,6.649207,deep,ad,far,0.694336,23.161913,2.328125,out wide,Out,false,19:01:38,781.880005,32
Opponent,1,second_serve,Serve,Slice,59.037487,34,0,0,short,ad,near,-3.411442,6.36441,deep,ad,far,0.533691,22.458788,2.261719,out wide,In,false,19:01:46,790.099976,33
Lenn Luemkemann,2,second_return,Backhand,Flat,64.120621,34,0,0,deep,ad,far,1.830587,20.452799,deep,ad,near,-3.919922,1.709128,1.427734,cross court,In,false,19:01:47,791.099976,33
Opponent,3,serve_plus_one,Backhand,Flat,46.433701,34,0,0,short,ad,near,-2.324289,6.812566,deep,ad,far,2.40625,24.458788,1.119141,cross court,In,false,19:01:48,792.099976,33
Lenn Luemkemann,4,return_plus_one,Backhand,Topspin,60.36507,34,0,0,deep,deuce,far,-3.088172,22.039181,deep,ad,near,-3.173828,0.849753,0.783203,down the line,In,false,19:01:49,793.5,33
Opponent,5,in_play,Forehand,Topspin,54.740181,34,0,0,short,deuce,near,1.541902,7.481453,out,deuce,far,-2.708984,25.458788,0.867188,cross court,In,false,19:01:50,794.710022,33
Lenn Luemkemann,6,in_play,Forehand,Topspin,61.388287,34,0,0,deep,deuce,far,-2.540758,19.332394,deep,deuce,near,2.427734,0.826316,0.822266,cross court,In,false,19:01:52,796.01001,33
Opponent,7,in_play,Forehand,Topspin,53.998005,34,0,0,deep,deuce,near,1.779814,5.348827,out,deuce_alley,far,-4.457031,26.177538,1.277344,down the line,In,false,19:01:53,797.330017,33
Lenn Luemkemann,8,in_play,Forehand,Topspin,67.169334,34,0,0,deep,ad_alley,far,4.288222,18.423292,deep,deuce,near,2.587891,-0.087747,1.394531,down the line,Out,false,19:01:54,798.679993,33
Opponent,1,first_serve,Serve,Slice,94.011467,36,0,0,deep,deuce,near,1.014439,3.49744,deep,deuce,far,-0.718262,24.302538,2.179688,down the T,Out,false,19:02:26,830.570007,35
Opponent,1,second_serve,Serve,Kick,71.496063,37,0,0,short,deuce,near,0.91688,7.173254,deep,deuce,far,-0.825195,24.521288,2.271484,down the T,In,false,19:02:34,838.450012,36
Lenn Luemkemann,2,second_return,Backhand,Flat,63.855759,37,0,0,deep,ad,far,1.78952,18.651121,deep,deuce,near,0.9375,1.021628,1.408203,inside in,In,false,19:02:35,839.330017,36
Opponent,3,serve_plus_one,Backhand,Flat,52.567585,37,0,0,deep,ad,near,-1.876216,5.33892,deep,ad,far,1.650391,24.255663,1.030273,cross court,In,false,19:02:36,840.429993,36
Lenn Luemkemann,4,return_plus_one,Backhand,Slice,43.888317,37,0,0,deep,deuce,far,-0.480662,18.465809,deep,ad,near,-2.400391,-0.283059,0.889648,down the line,In,false,19:02:38,841.830017,36
Opponent,5,in_play,Forehand,Flat,75.462402,37,0,0,deep,deuce,near,3.782931,2.530067,deep,deuce,far,-0.612793,23.943163,0.800781,cross court,In,false,19:02:39,843.409973,36
Lenn Luemkemann,1,first_serve,Serve,Slice,119.147758,38,0,0,deep,deuce_alley,far,-4.164315,18.94173,deep,deuce,near,0.236084,0.212986,2.390625,out wide,Out,false,19:03:10,874.409973,37
Opponent,2,first_return,Forehand,Slice,40.924961,38,0,0,deep,ad,near,-2.419975,5.131742,out,deuce_alley,far,-4.714844,25.443163,1.541016,down the line,In,false,19:03:11,875.150024,37
Lenn Luemkemann,3,serve_plus_one,Backhand,Topspin,67.65226,38,0,0,deep,ad,far,3.249825,21.394489,deep,ad,near,-1.96582,1.381003,0.982422,cross court,In,false,19:03:12,876.650024,37
Opponent,4,return_plus_one,Backhand,Slice,31.899712,38,0,0,short,deuce,near,2.46875,8.40625,out,ad,far,3.601562,26.615038,0.854004,down the line,In,false,19:03:14,877.809998,37
Lenn Luemkemann,5,in_play,Overhead,Flat,123.198563,38,0,0,short,ad_alley,far,4.512776,18.287191,short,deuce,near,2.46875,7.881003,2.673828,---,Out,false,19:03:16,879.880005,37
Lenn Luemkemann,1,first_serve,Serve,Kick,115.586983,40,0,0,short,ad,far,3.597144,16.59008,deep,ad,near,-0.253418,0.123797,2.255859,out wide,In,false,19:03:42,906.76001,39
Opponent,2,first_return,Backhand,Slice,36.516335,40,0,0,short,ad,near,-0.586426,6.726562,out,ad_alley,far,4.558594,26.333788,1.746094,down the line,In,false,19:03:43,907.559998,39
Lenn Luemkemann,3,serve_plus_one,Overhead,Flat,82.693138,40,0,0,deep,deuce,far,-2.021516,23.015066,short,ad,near,-0.586426,6.201315,2.792969,---,In,false,19:03:45,908.98999,39
Lenn Luemkemann,1,first_serve,Serve,Slice,126.101929,41,0,0,deep,deuce,far,-0.796357,20.414934,deep,deuce,near,0.641113,0.107566,2.615234,down the T,Out,false,19:04:12,936.51001,40
Opponent,2,first_return,Backhand,Flat,35.870239,41,0,0,deep,ad,near,-0.259277,5.226272,out,deuce,far,-1.208008,25.115038,1.177734,inside in,In,false,19:04:13,937.179993,40
Lenn Luemkemann,1,second_serve,Serve,Kick,74.131805,42,0,0,deep,deuce,far,-1.633541,18.314934,deep,deuce,near,0.765625,0.076316,2.621094,down the T,Out,false,19:04:23,946.809998,41
Opponent,2,second_return,Forehand,Flat,60.359039,42,0,0,short,ad,near,-2.27457,6.006947,deep,deuce,far,-2.769531,23.802538,1.441406,down the line,In,false,19:04:24,947.840027,41
Lenn Luemkemann,3,serve_plus_one,Backhand,Topspin,59.767551,42,0,0,deep,ad,far,0.444384,18.732058,out,ad,near,-2.544922,-0.915872,0.615723,cross court,In,false,19:04:25,948.98999,41
Opponent,4,return_plus_one,Forehand,Topspin,65.293236,42,0,0,deep,deuce,near,1.930475,3.118292,deep,ad,far,1.274414,24.271288,0.986328,inside in,In,false,19:04:26,950.27002,41
Lenn Luemkemann,5,in_play,Forehand,Topspin,53.539337,42,0,0,deep,deuce_alley,far,-4.119014,19.093529,out,deuce,near,1.907227,-1.603372,1.134766,down the line,Out,false,19:04:27,951.409973,41
Opponent,6,in_play,Forehand,Slice,57.017769,42,0,0,deep,ad,near,-2.932679,2.66917,out,deuce_alley,far,-4.828125,26.224413,1.481445,down the line,In,false,19:04:29,952.77002,41
Lenn Luemkemann,7,in_play,Backhand,Flat,45.377846,42,0,0,deep,ad,far,2.095816,18.298454,deep,ad,near,-2.310547,0.146628,1.024414,cross court,In,false,19:04:30,953.909973,41
Opponent,8,in_play,Backhand,Slice,32.319901,42,0,0,short,ad,near,-1.301758,10.140625,out,ad,far,2.675781,25.271288,1.349609,cross court,In,false,19:04:31,955.549988,41
Lenn Luemkemann,9,in_play,Volley,Flat,22.516716,42,0,0,deep,ad,far,2.739464,19.218401,short,ad,near,-1.301758,9.615378,1.174805,cross court,In,false,19:04:32,956.75,41
Lenn Luemkemann,1,first_serve,Serve,Kick,114.43235,43,0,0,short,ad,far,0.391428,18.039579,deep,ad,near,-1.322266,-0.345559,2.484375,down the T,In,false,19:05:13,997.619995,42
Opponent,2,first_return,Forehand,Flat,52.851448,43,0,0,short,ad,near,-0.486297,5.877746,out,ad,far,1.008789,25.943163,1.095703,inside out,In,false,19:05:14,998.289978,42
Lenn Luemkemann,3,serve_plus_one,Forehand,Slice,24.709337,43,0,0,short,ad,near,-3.519531,5.636953,deep,ad,near,-1.103516,0.748191,0.929199,inside out,Net,false,19:05:15,999.619995,42
Lenn Luemkemann,1,first_serve,Serve,Slice,97.217262,44,0,0,deep,deuce,far,-3.257719,19.187538,deep,deuce,near,-0.269775,0.956273,2.492188,out wide,Out,false,19:05:54,1038.410034,43
Opponent,2,first_return,Forehand,Slice,31.220041,44,0,0,short,deuce,far,-2.863281,11.9375,out,deuce_alley,far,-4.917969,25.474413,1.142578,down the line,Net,false,19:05:55,1039.140015,43
Lenn Luemkemann,1,first_serve,Serve,Kick,96.579857,45,0,0,short,deuce,far,-4.069331,17.432865,deep,deuce,near,0.60498,-0.353372,2.595703,out wide,In,false,19:07:41,1145.290039,44
Lenn Luemkemann,1,second_serve,Serve,Kick,73.38073,46,0,0,short,deuce,far,-0.496152,16.402571,deep,deuce,near,0.874023,-0.158059,2.476562,down the T,In,false,19:07:50,1153.77002,45
Opponent,2,second_return,Backhand,Flat,63.726963,46,0,0,deep,ad,near,-1.255225,4.098863,deep,deuce,far,-0.662109,22.927538,1.551758,inside in,In,false,19:07:50,1154.76001,45
Lenn Luemkemann,3,serve_plus_one,Backhand,Flat,51.014771,46,0,0,deep,ad,far,1.163085,20.320683,out,ad,near,-1.194336,-0.658059,0.856445,cross court,In,false,19:07:51,1155.640015,45
Opponent,4,return_plus_one,Backhand,Topspin,60.052914,46,0,0,deep,deuce,near,3.044788,1.645567,deep,ad,far,1.391602,24.490038,1.078125,down the line,In,false,19:07:53,1157.069946,45
Lenn Luemkemann,5,in_play,Forehand,Topspin,48.415245,46,0,0,out,ad,far,0.213135,24.473694,out,deuce,near,2.726562,-2.34556,0.952148,down the line,Out,false,19:07:54,1158.23999,45
Lenn Luemkemann,1,first_serve,Serve,Kick,77.662743,48,0,0,short,ad,far,3.439271,18.053091,deep,ad,near,-1.076172,-0.158059,2.511719,out wide,In,false,19:08:19,1183,47
Opponent,2,first_return,Backhand,Slice,33.434902,48,0,0,short,ad,near,-2.678689,7.881057,deep,ad,far,3.996094,23.302538,1.516602,cross court,In,false,19:08:20,1184.150024,47
Lenn Luemkemann,3,serve_plus_one,Forehand,Topspin,77.159958,48,0,0,deep,deuce_alley,far,-4.138713,22.527859,deep,ad,near,-3.193359,3.361472,1.548828,inside in,Out,false,19:08:22,1186.02002,47
Lenn Luemkemann,1,first_serve,Serve,Slice,95.815819,50,0,0,short,deuce,far,-3.996519,18.237082,deep,deuce,near,0.219971,0.466941,2.486328,out wide,In,false,19:08:50,1213.959961,49
Opponent,2,first_return,Forehand,Topspin,39.749844,50,0,0,short,ad,near,-3.367713,7.19434,deep,deuce_alley,far,-5.101562,24.802538,1.275391,down the line,In,false,19:08:50,1214.589966,49
Lenn Luemkemann,3,serve_plus_one,Backhand,Slice,33.635029,50,0,0,deep,ad,far,2.279342,20.163357,short,ad,near,-2.246094,5.142722,1.648438,cross court,In,false,19:08:52,1215.98999,49
Opponent,4,return_plus_one,Backhand,Flat,42.106201,50,0,0,short,ad,far,3.494141,17.635605,deep,ad,far,2.513672,24.021288,0.653809,cross court,Net,false,19:08:53,1217.530029,49
Lenn Luemkemann,1,first_serve,Serve,Kick,105.090935,51,0,0,deep,ad,far,3.97308,19.231617,deep,ad,near,-0.830566,-0.251809,2.537109,out wide,Out,false,19:09:20,1243.939941,50
Lenn Luemkemann,1,second_serve,Serve,Kick,71.619102,52,0,0,short,ad,far,2.917969,17.640625,deep,ad,near,-1.048828,0.318503,2.498047,out wide,In,false,19:09:30,1254.51001,51
